name,date,average_price
Bitcoin,2022-03-22,"$42,358.81"
Bitcoin,2022-03-21,"$41,078.00"
Bitcoin,2022-03-20,"$41,247.82"
Bitcoin,2022-03-19,"$42,190.65"
Bitcoin,2022-03-18,"$41,801.15"
Bitcoin,2022-03-17,"$40,951.38"
Bitcoin,2022-03-16,"$41,143.93"
Bitcoin,2022-03-15,"$39,338.79"
Bitcoin,2022-03-14,"$39,666.76"
Bitcoin,2022-03-13,"$37,849.66"
Bitcoin,2022-03-12,"$38,904.01"
Bitcoin,2022-03-11,"$38,794.97"
Bitcoin,2022-03-10,"$39,437.46"
Bitcoin,2022-03-09,"$41,982.93"
Bitcoin,2022-03-08,"$38,737.27"
Bitcoin,2022-03-07,"$38,062.04"
Bitcoin,2022-03-06,"$38,419.98"
Bitcoin,2022-03-05,"$39,400.58"
Bitcoin,2022-03-04,"$39,137.60"
Bitcoin,2022-03-03,"$42,451.79"
Bitcoin,2022-03-02,"$43,924.12"
Bitcoin,2022-03-01,"$44,354.64"
Bitcoin,2022-02-28,"$43,193.23"
Bitcoin,2022-02-27,"$37,709.78"
Bitcoin,2022-02-26,"$39,105.15"
Bitcoin,2022-02-25,"$39,214.22"
Bitcoin,2022-02-24,"$38,332.61"
Bitcoin,2022-02-23,"$37,296.57"
Bitcoin,2022-02-22,"$38,286.03"
Bitcoin,2022-02-21,"$37,075.28"
Bitcoin,2022-02-20,"$38,431.38"
Bitcoin,2022-02-19,"$40,122.15"
Bitcoin,2022-02-18,"$40,030.98"
Bitcoin,2022-02-17,"$40,538.01"
Bitcoin,2022-02-16,"$43,961.86"
Bitcoin,2022-02-15,"$44,575.20"
Bitcoin,2022-02-14,"$42,586.92"
Bitcoin,2022-02-13,"$42,197.52"
Bitcoin,2022-02-12,"$42,244.47"
Bitcoin,2022-02-11,"$42,407.94"
Bitcoin,2022-02-10,"$43,565.11"
Bitcoin,2022-02-09,"$44,338.80"
Bitcoin,2022-02-08,"$44,118.45"
Bitcoin,2022-02-07,"$43,840.29"
Bitcoin,2022-02-06,"$42,412.43"
Bitcoin,2022-02-05,"$41,441.16"
Bitcoin,2022-02-04,"$41,500.88"
Bitcoin,2022-02-03,"$37,154.60"
Bitcoin,2022-02-02,"$36,952.98"
Bitcoin,2022-02-01,"$38,743.27"
